row_kind,id,source_file,source_sections,rule_type,initiator,responder,method,operation_kind,target,condition,accepted_status,preferred_emit,headers,body,effects,normative_strength,summary
global_status,http.status.200,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,200,,,"""required""",,defined_behavior,completed_with_representation
global_status,http.status.201,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,201,,"{""Location"":""required_created_resource_uri""}","{""postAction"":""required_action_response"",""postCreate"":""optional_created_resource_representation""}",,defined_behavior,create_completed
global_status,http.status.202,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,202,,"{""Location"":""required_task_monitor_uri"",""Retry-After"":""optional""}","""optional_but_if_present_must_be_Task""",,defined_behavior,accepted_not_complete
global_status,http.status.204,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,204,,,"""forbidden""",,defined_behavior,completed_without_representation
global_status,http.status.301,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,301,,,,,defined_behavior,resource_permanently_moved
global_status,http.status.302,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,302,,,,,defined_behavior,resource_temporarily_moved
global_status,http.status.304,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,304,,,"""forbidden_by_http""",,defined_behavior,conditional_get_unchanged
global_status,http.status.400,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,400,,,"""required_redfish_error""",,defined_behavior,invalid_or_missing_request_information
global_status,http.status.401,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,401,,,,,defined_behavior,missing_or_invalid_authentication
global_status,http.status.403,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,403,,,,,defined_behavior,authenticated_but_not_authorized
global_status,http.status.404,contracts/dmtf/dsp0266/1.24.0/global/status-codes.yaml,8.3/Table14,status_catalog,,redfish_service,*,,,,404,,,,,defined_behavior,resource_uri_does_not_exist_or_is_hidden
